date,time,chirps/15 sec,chirps/13 sec,temp (˚F),temp (˚C)
21 Aug,2030,44,38.133,80.5,26.944
21 Aug,2100,46.4,40.213,78.5,25.833
21 Aug,2200,43.6,37.787,78,25.556
24 Aug,1945,35,30.333,73.5,23.056
24 Aug,2015,35,30.333,70.5,21.389
24 Aug,2100,32.6,28.253,68,20
24 Aug,2200,28.9,25.047,66,18.889
24 Aug,2230,27.7,24.007,65,18.333
25 Aug,30,25.5,22.1,61.5,16.389
25 Aug,330,20.375,17.658,57,13.889
25 Aug,500,12.5,10.833,55,12.778
25 Aug,2000,37,32.067,76.25,24.583
25 Aug,2030,37.5,32.5,74,23.333
25 Aug,2100,36.5,31.633,74,23.333
25 Aug,2200,36.2,31.373,72.5,22.5
26 Aug,530,33,28.6,66,18.889
26 Aug,2030,43,37.267,77.5,25.278
26 Aug,2200,46,39.867,78.5,25.833
27 Aug,2000,29,25.133,68.5,20.278
27 Aug,2030,31.7,27.473,68.5,20.278
27 Aug,2100,31,26.867,68,20
27 Aug,2200,28.75,24.917,66,18.889
28 Aug,240,23.5,20.367,59,15
28 Aug,2010,32.4,28.08,70,21.111
28 Aug,2050,31,26.867,69,20.556
28 Aug,2200,29.5,25.567,67,19.444
29 Aug,240,22.5,19.5,61.25,16.25
29 Aug,440,20.6,17.853,58.5,14.722
29 Aug,2000,35,30.333,72,22.222
29 Aug,2050,33.1,28.687,71,21.667
29 Aug,2200,31.5,27.3,69,20.556
29 Aug,2330,28.8,24.96,66.5,19.167
30 Aug,330,21.3,18.46,60,15.556
30 Aug,2000,37.8,32.76,75,23.889
30 Aug,2055,37,32.067,73.25,22.917
30 Aug,2200,37.1,32.153,72.5,22.5
1 Sep,2200,36.2,31.373,70,21.111
2 Sep,330,31.4,27.213,67.5,19.722
2 Sep,600,30.2,26.173,66,18.889
4 Sep,240,31.3,27.127,69,20.556
4 Sep,505,26.1,22.62,63,17.222
5 Sep,500,25.2,21.84,63,17.222
6 Sep,600,23.66,20.505,61,16.111
7 Sep,215,22.25,19.283,62,16.667
7 Sep,525,17.5,15.167,56.5,13.611
9 Sep,2010,15.5,13.433,55,12.778
9 Sep,2110,14.75,12.783,52,11.111
10 Sep,2115,15,13,53,11.667
10 Sep,2210,14,12.133,50,10
11 Sep,315,18.5,16.033,52,11.111
16 Sep,2100,27.7,24.007,65,18.333
17 Sep,2200,26,22.533,63,17.222
18 Sep,130,21.7,18.807,59,15
19 Sep,415,12.5,10.833,50.75,10.417
19 Sep,435,12.5,10.833,49.25,9.5833
