Social Contacts,Sex,Genotype
22,F,+/-
23,M,+/+
18,M,+/-
15,F,+/+
19,M,+/-
2,F,-/-
15,M,-/-
12,M,-/-
15,M,+/+
19,M,+/+
20,M,+/+
15,F,+/-
18,F,+/-
25,M,+/+
16,F,+/+
14,M,+/-
26,F,+/+
14,F,+/-
20,F,+/-
23,F,+/-
29,F,+/-
19,M,+/-
16,F,-/-
17,M,+/+
22,M,+/+
17,F,+/+
27,M,+/-
24,M,+/-
26,M,+/-
21,F,+/+
16,M,-/-
16,F,+/-
16,F,+/-
15,M,+/-
5,F,+/+
12,M,+/+
11,M,+/+
19,F,+/-
12,M,+/-
11,F,+/+
11,F,-/-
11,F,-/-
15,M,-/-
11,F,-/-
19,M,+/+
15,F,+/+
18,F,-/-
24,F,+/+
