time (ms),membrane voltage (mV)
72.0,-50.62558
72.004,-50.69686
72.008,-50.62558
72.012,-50.5543
72.01599999999999,-50.26962
72.02,-50.12728
72.024,-49.91366
72.02799999999999,-49.70004
72.032,-49.62876
72.036,-49.70004
72.04,-49.77132
72.044,-49.70004
72.048,-49.5577
72.052,-49.2728
72.056,-48.7745
72.06,-48.34726
72.06400000000001,-48.13386
72.068,-48.06258
72.072,-47.9913
72.07600000000001,-48.20492
72.08,-48.2762
72.08399999999999,-48.20492
72.088,-48.13386
72.092,-47.92024
72.09599999999999,-47.77768
72.1,-47.77768
72.104,-47.92024
72.108,-48.34726
72.112,-48.63216
72.116,-48.98812
72.12,-49.2728
72.124,-49.41536
72.128,-49.5577
72.132,-49.5577
72.13600000000001,-49.62876
72.14,-49.77132
72.144,-49.91366
72.14800000000001,-50.12728
72.15199999999999,-50.3409
72.15599999999999,-50.69686
72.16,-50.98154
72.164,-51.05282
72.16799999999999,-51.05282
72.172,-50.76792
72.176,-50.26962
72.17999999999999,-49.91366
72.184,-49.62876
72.188,-49.62876
72.19200000000001,-49.77132
72.196,-49.91366
72.2,-49.98472
72.20400000000001,-49.91366
72.208,-49.70004
72.212,-49.41536
72.21600000000001,-48.98812
72.22000000000001,-48.70322
72.22399999999999,-48.48982
72.228,-48.48982
72.232,-48.56088
72.23599999999999,-48.70322
72.24,-48.63216
72.244,-48.63216
72.248,-48.63216
72.252,-48.48982
72.256,-48.48982
72.26,-48.56088
72.264,-48.63216
72.268,-48.7745
72.272,-48.98812
72.27600000000001,-49.2728
72.28,-49.34408
72.284,-49.41536
72.28800000000001,-49.41536
72.292,-49.2728
72.29599999999999,-49.13046
72.3,-48.84578
72.30399999999999,-48.70322
72.30799999999999,-48.70322
72.312,-48.70322
72.316,-48.84578
72.32,-48.91684
72.324,-49.05918
72.328,-49.05918
72.332,-49.13046
72.336,-49.05918
72.34,-49.13046
72.34400000000001,-49.48642
72.348,-49.98472
72.352,-50.5543
72.35600000000001,-51.26644
72.36,-51.8358
72.364,-52.40538
72.368,-52.83262
72.372,-53.1173
72.37599999999999,-53.54454
72.38,-53.9005
72.384,-54.25646
72.38799999999999,-54.54136
72.392,-54.89732
72.396,-55.25328
72.4,-55.53796
72.404,-55.60924
72.408,-55.60924
72.412,-55.39562
72.416,-55.03966
72.42,-54.54136
72.424,-54.32774
72.42800000000001,-54.11412
72.432,-54.04284
72.436,-54.04284
72.44,-54.04284
72.44399999999999,-53.97178
72.448,-53.61582
72.452,-53.04624
72.456,-52.40538
72.46,-51.90708
72.464,-51.40878
72.468,-51.19516
72.472,-51.19516
72.476,-51.19516
72.48,-51.26644
72.48400000000001,-51.19516
72.488,-51.19516
72.492,-51.19516
72.49600000000001,-51.19516
72.5,-51.19516
72.504,-51.3375
72.50800000000001,-51.47984
72.51199999999999,-51.69346
72.51599999999999,-51.90708
72.52,-52.1207
72.524,-52.33432
72.52799999999999,-52.47666
72.532,-52.54794
72.536,-52.619
72.53999999999999,-52.619
72.544,-52.76134
72.548,-52.97496
72.552,-53.1173
72.556,-53.33092
72.56,-53.54454
72.56400000000001,-53.68688
72.568,-53.68688
72.572,-53.61582
72.57600000000001,-53.47348
72.58000000000001,-53.33092
72.58399999999999,-53.33092
72.588,-53.33092
72.592,-53.25986
72.59599999999999,-53.33092
72.6,-53.33092
72.604,-53.25986
72.608,-53.18858
72.612,-52.97496
72.616,-52.97496
72.62,-52.9039
72.624,-53.04624
72.628,-53.25986
72.632,-53.47348
72.63600000000001,-53.75816
72.64,-53.82944
72.644,-53.9005
72.64800000000001,-54.04284
72.652,-54.04284
72.65599999999999,-54.1854
72.66,-54.47008
72.664,-54.82604
72.66799999999999,-55.25328
72.672,-55.89392
72.676,-56.53478
72.67999999999999,-57.10436
72.684,-57.60266
72.688,-58.10096
72.69200000000001,-58.38586
72.696,-58.67054
72.7,-58.74182
72.70400000000001,-58.88416
72.708,-59.0265
72.712,-59.38268
72.71600000000001,-59.66736
72.72000000000001,-59.8097
72.724,-59.88098
72.728,-59.66736
72.732,-59.38268
72.73599999999999,-58.88416
72.74,-58.59948
72.744,-58.45714
72.74799999999999,-58.38586
72.752,-58.5282
72.756,-58.59948
72.76,-58.67054
72.764,-58.67054
72.768,-58.74182
72.772,-58.67054
72.776,-58.59948
72.78,-58.74182
72.784,-58.74182
72.78800000000001,-58.95544
72.792,-59.09778
72.796,-59.16906
72.8,-59.24012
72.80399999999999,-59.3114
72.80799999999999,-59.16906
72.812,-59.0265
72.816,-58.74182
72.82,-58.38586
72.824,-58.0299
72.828,-57.67394
72.832,-57.60266
72.836,-57.5316
72.84,-57.5316
72.84400000000001,-57.46032
72.848,-57.31798
72.852,-56.96202
72.85600000000001,-56.7484
72.86,-56.53478
72.864,-56.53478
72.86800000000001,-56.60606
72.872,-56.7484
72.87599999999999,-56.96202
72.88,-57.10436
72.884,-56.89074
72.88799999999999,-56.81946
72.892,-56.53478
72.896,-56.4635
72.9,-56.32116
72.904,-56.4635
72.908,-56.53478
72.912,-56.81946
72.916,-56.96202
72.92,-56.96202
72.924,-57.03308
72.92800000000001,-56.81946
72.932,-56.7484
72.936,-56.7484
72.94,-56.7484
72.94399999999999,-56.89074
72.948,-57.10436
72.952,-57.31798
72.95599999999999,-57.5316
72.96,-57.745
72.964,-57.88756
72.968,-57.81628
72.972,-57.745
72.976,-57.46032
72.98,-57.2467
72.984,-56.96202
72.988,-56.96202
72.992,-57.03308
72.99600000000001,-57.2467
73.0,-57.2467
73.004,-57.31798
73.00800000000001,-57.17542
73.012,-57.03308
73.01599999999999,-56.89074
73.02,-56.81946
73.024,-56.89074
73.02799999999999,-57.31798
73.032,-57.67394
73.036,-58.17224
73.03999999999999,-58.5282
73.044,-58.88416
73.048,-59.09778
73.052,-59.38268
73.056,-59.59608
73.06,-59.66736
73.06400000000001,-59.88098
73.068,-60.02332
73.072,-60.23694
73.07600000000001,-60.5929
73.08000000000001,-60.87758
73.084,-61.23354
73.088,-61.3761
73.092,-61.66078
73.09599999999999,-61.66078
73.1,-61.8744
73.104,-61.8744
73.108,-61.94568
73.112,-62.15908
73.116,-62.3727
73.12,-62.58632
73.124,-62.72866
73.128,-62.79994
73.132,-62.72866
73.13600000000001,-62.6576
73.14,-62.58632
73.144,-62.58632
73.14800000000001,-62.6576
73.152,-62.72866
73.156,-62.72866
73.16,-62.72866
73.164,-62.51526
73.16799999999999,-62.23036
73.172,-61.66078
73.176,-61.23354
73.17999999999999,-60.94886
73.184,-60.87758
73.188,-60.80652
73.192,-60.87758
73.196,-60.94886
73.2,-60.80652
73.20400000000001,-60.5929
73.208,-60.37928
73.212,-59.95204
73.21600000000001,-59.59608
73.22,-59.3114
73.224,-59.16906
73.228,-59.0265
73.232,-59.0265
73.23599999999999,-59.0265
73.24,-59.16906
73.244,-59.45374
73.24799999999999,-59.59608
73.252,-59.73864
73.256,-59.88098
73.26,-60.02332
73.264,-60.23694
73.268,-60.5929
73.272,-61.0912
73.276,-61.66078
73.28,-62.01674
73.284,-62.30164
73.28800000000001,-62.23036
73.292,-61.8744
73.296,-61.58972
73.3,-61.02014
73.30399999999999,-60.52162
73.30799999999999,-60.16566
73.312,-59.8097
73.316,-59.59608
73.32,-59.16906
73.324,-58.59948
73.328,-58.17224
73.332,-57.60266
73.336,-57.03308
73.34,-56.39244
73.34400000000001,-55.82286
73.348,-55.25328
73.352,-54.54136
73.35600000000001,-53.9005
73.36,-53.33092
73.364,-52.83262
73.36800000000001,-52.47666
73.372,-51.90708
73.37599999999999,-51.6224
73.38,-51.26644
73.384,-51.05282
73.38799999999999,-50.8392
73.392,-50.69686
73.396,-50.69686
73.4,-50.62558
73.404,-50.48324
73.408,-50.19834
73.412,-49.84238
73.416,-49.34408
73.42,-48.98812
73.424,-48.63216
73.428,-48.41854
73.432,-48.20492
73.436,-47.9913
73.44000000000001,-47.77768
73.44399999999999,-47.35066
73.448,-46.85214
73.452,-46.14022
73.45599999999999,-45.57064
73.46,-44.858720000000005
73.464,-44.50276
73.468,-44.21808
73.472,-44.1468
73.476,-43.93318
73.48,-43.6485
73.484,-43.43488
73.488,-43.1502
73.492,-42.865300000000005
73.49600000000001,-42.65168
73.5,-42.72296
73.504,-42.72296
73.50800000000001,-42.93658
73.512,-43.07892
73.51599999999999,-43.22126
73.52,-43.57722
73.524,-43.79084
73.52799999999999,-44.07574
73.532,-44.21808
73.536,-44.28914
73.53999999999999,-44.21808
73.544,-44.36042
73.548,-44.50276
73.552,-44.71638
73.556,-45.14362
73.56,-45.64192
73.56400000000001,-45.9266
73.568,-45.99788
73.572,-45.9266
73.57600000000001,-45.64192
73.58000000000001,-45.35724
73.584,-45.14362
73.588,-45.14362
73.592,-45.28596
73.59599999999999,-45.35724
73.6,-45.4283
73.604,-45.21468
73.608,-45.07234
73.612,-44.78766
73.616,-44.50276
73.62,-44.28914
73.624,-44.21808
73.628,-44.1468
73.632,-44.07574
73.636,-43.93318
73.64,-43.86212
73.644,-43.71956
73.64800000000001,-43.6485
73.652,-43.86212
73.656,-43.93318
73.66,-44.36042
73.66399999999999,-44.858720000000005
73.66799999999999,-45.49958
73.672,-46.14022
73.676,-46.85214
73.67999999999999,-47.56428
73.684,-48.06258
73.688,-48.56088
73.692,-48.91684
73.696,-49.2728
73.7,-49.5577
73.70400000000001,-49.70004
73.708,-50.12728
73.712,-50.62558
73.71600000000001,-51.12388
73.72,-51.6224
73.724,-51.97836
73.72800000000001,-52.04942
73.732,-52.1207
73.73599999999999,-52.04942
73.74,-52.1207
73.744,-52.1207
73.74799999999999,-52.33432
73.752,-52.619
73.756,-53.04624
73.76,-53.4022
73.764,-53.61582
73.768,-53.68688
73.772,-53.82944
73.776,-53.97178
73.78,-54.04284
73.784,-54.39902
73.78800000000001,-54.89732
73.792,-55.39562
73.796,-55.89392
73.80000000000001,-56.32116
73.80399999999999,-56.60606
73.80799999999999,-56.81946
73.812,-56.96202
73.816,-56.81946
73.82,-56.89074
73.824,-56.81946
73.828,-56.96202
73.832,-57.2467
73.836,-57.60266
73.84,-58.0299
73.84400000000001,-58.59948
73.848,-59.0265
73.852,-59.38268
73.85600000000001,-59.66736
73.86,-59.8097
73.864,-60.02332
73.86800000000001,-60.0946
73.872,-60.37928
73.87599999999999,-60.5929
73.88,-61.02014
73.884,-61.44716
73.88799999999999,-61.94568
73.892,-62.30164
73.896,-62.72866
73.89999999999999,-62.87122
73.904,-63.22718
73.908,-63.4408
73.912,-63.79676
73.916,-64.01016
73.92,-64.15272
73.924,-64.15272
73.928,-64.01016
73.932,-63.86782
73.936,-63.79676
73.94000000000001,-63.86782
73.944,-64.15272
73.948,-64.57974
73.952,-65.00698
73.95599999999999,-65.36294
73.96,-65.57656
73.964,-65.57656
73.968,-65.43422
73.972,-65.14932
73.976,-64.86464
73.98,-64.65102
73.984,-64.50868
73.988,-64.50868
73.992,-64.4374
73.99600000000001,-64.4374
74.0,-64.7223
74.004,-64.86464
74.00800000000001,-65.00698
74.012,-65.07826
74.016,-65.00698
74.02,-64.7223
74.024,-64.36634
74.02799999999999,-64.08144
74.032,-63.72548
74.036,-63.58314
74.03999999999999,-63.58314
74.044,-63.51186
74.048,-63.29824
74.052,-63.1559
74.056,-62.72866
74.06,-62.30164
74.06400000000001,-62.01674
74.068,-61.58972
74.072,-61.3761
74.07600000000001,-61.0912
74.08,-60.87758
74.084,-60.5929
74.08800000000001,-60.16566
74.092,-59.59608
74.09599999999999,-59.16906
74.1,-58.67054
74.104,-58.45714
74.10799999999999,-58.31458
74.112,-58.17224
74.116,-58.10096
74.12,-58.0299
74.124,-57.88756
74.128,-57.745
74.132,-57.60266
74.136,-57.5316
74.14,-57.31798
74.144,-57.2467
74.14800000000001,-57.03308
74.152,-56.96202
74.156,-56.7484
74.16,-56.60606
74.16399999999999,-56.39244
