time,x,y,head direction
1648415062950366.00, 285.9556, 363.0605, -99.0000
1648415062989328.50, 317.3645, 352.0389, 125.0493
1648415063027983.75, 319.3682, 351.6986, 122.0943
1648415063066405.75, 323.6461, 353.3806, 120.7606
1648415063110038.00, 327.8132, 354.3017, 114.6167
1648415063148891.50, 333.2040, 355.3131, 115.3834
1648415063189765.50, 336.5315, 356.4415, 121.4202
1648415063233084.50, 338.3837, 357.4014, 123.2499
1648415063268175.75, 343.2919, 360.7159, 130.2461
1648415063298725.75, 347.6263, 363.4017, 138.0250
1648415063339182.25, 350.2112, 365.2143, 132.9007
1648415063382614.25, 353.8559, 368.6490, 137.1596
1648415063417007.50, 356.4520, 372.2852, 137.5093
1648415063458205.25, 359.3292, 374.9847, 137.2309
1648415063494743.50, 360.2341, 377.3418, 137.8576
1648415063533454.50, 361.8591, 379.2378, 136.0736
1648415063571754.50, 362.3217, 380.1080, 132.5898
1648415063611483.75, 365.4436, 380.1104, 130.9227
1648415063643670.00, 368.2679, 380.0708, 128.8203
1648415063688590.25, 373.2378, 378.1470, 127.3253
1648415063733800.75, 378.5426, 374.8564, 129.1302
1648415063770677.25, 383.5351, 372.9728, 118.8500
1648415063809806.50, 387.9126, 370.7350, 116.4804
1648415063847303.25, 391.2761, 369.6279, 111.2127
1648415063892231.50, 395.6653, 368.5715, 107.4649
1648415063934281.50, 398.6988, 367.8911, 102.6075
1648415063973675.00, 404.1062, 367.6296, 101.5214
1648415064011708.25, 409.8340, 367.5864, 102.0846
1648415064049613.50, 412.6584, 367.0098, 101.6317
1648415064090482.50, 419.3912, 366.0982, 105.0347
1648415064128886.75, 424.3112, 365.5686, 103.1864
1648415064161095.50, 426.4690, 365.0613, 100.6210
1648415064199223.75, 427.4534, 365.2397, 101.2511
1648415064233111.50, 430.0460, 365.2123, 102.3360
1648415064266839.00, 431.0008, 365.2157, 101.1318
1648415064299796.00, 431.1098, 365.2551, 99.7484
1648415064332228.25, 430.8273, 364.9545, 103.0243
1648415064376648.00, 432.9407, 365.4100, 103.7863
1648415064415624.75, 437.7164, 365.0784, 98.4423
1648415064455379.50, 442.8102, 366.4925, 101.9081
1648415064493964.25, 445.3599, 367.6694, 102.9994
1648415064531467.50, 452.5984, 370.0862, 103.0246
1648415064569423.50, 458.5981, 373.2602, 114.8917
1648415064607266.25, 461.0131, 375.3351, 117.3509
1648415064645082.00, 466.7677, 379.8542, 122.7814
1648415064682122.75, 472.2681, 383.5502, 124.4551
1648415064727796.25, 477.6741, 385.6766, 121.4821
1648415064772334.25, 485.4422, 387.8508, 122.9717
1648415064817771.25, 487.7756, 388.7382, 121.0618
1648415064854464.50, 494.2662, 391.8306, 117.3636
1648415064891234.25, 497.2487, 392.9463, 120.4035
1648415064926364.50, 502.0526, 395.2078, 118.5842
1648415064965396.50, 507.9170, 397.4420, 125.9254
1648415065004431.50, 510.8355, 399.1182, 129.1440
1648415065046049.00, 514.2511, 400.5933, 130.6020
1648415065080610.00, 518.5745, 401.4740, 129.9526
1648415065113223.75, 523.6727, 404.2833, 129.4982
1648415065147922.00, 525.7309, 405.6310, 127.5648
1648415065184489.25, 528.2067, 407.7673, 127.0462
1648415065221565.25, 528.8375, 409.1046, 127.4748
1648415065258659.75, 531.0554, 411.4508, 125.6980
1648415065295185.00, 532.6429, 412.4782, 124.2687
1648415065331346.50, 532.9583, 412.4138, 121.7661
1648415065364162.75, 535.5269, 411.6334, 119.2960
1648415065399334.00, 536.8893, 411.0791, 120.3991
1648415065430056.25, 538.0750, 409.9902, 121.1692
1648415065461698.50, 539.2648, 409.1415, 122.0115
1648415065495980.00, 542.2048, 407.1431, 119.9382
1648415065531387.25, 542.3959, 405.9765, 117.6241
1648415065565408.25, 542.8079, 403.5753, 113.6068
1648415065602283.25, 543.4612, 402.2073, 114.5840
1648415065638141.75, 544.0926, 400.4600, 113.6826
1648415065676342.25, 544.5152, 399.2188, 110.6555
1648415065713350.00, 544.6200, 399.0201, 111.2740
1648415065748258.50, 544.3176, 398.9207, 103.2341
1648415065785916.00, 544.9753, 397.7683, 103.2547
1648415065821126.25, 545.1642, 397.6310, 103.4594
