time (µs),x,y,head direction (˚)
1650048186763290.50, 107.8798, 54.3905, 358.3321
1650048186834363.50, 108.1281, 53.7291, -99.0000
1650048186902718.75, 109.1716, 52.9104, -99.0000
1650048186943229.50, 110.1565, 53.1465, 358.7572
1650048186972968.25, 110.5381, 53.6016, 0.6235
1650048187004431.25, 111.4291, 53.7073, 3.0731
1650048187036245.25, 112.1059, 53.5529, 3.9076
1650048187067936.25, 112.9390, 53.2557, 4.1917
1650048187139667.50, 114.6940, 52.8846, -99.0000
1650048187180850.25, 116.8412, 53.2402, 9.1264
1650048187216217.75, 118.4092, 54.6561, 12.2837
1650048187248188.00, 119.5867, 55.9015, 14.5448
1650048187281402.25, 122.4475, 56.8319, 21.1794
1650048187321159.25, 123.8813, 56.8482, 25.0894
1650048187363262.50, 129.1395, 57.4040, 37.3574
1650048187442686.25, 134.1144, 55.8398, -99.0000
1650048187489251.75, 154.3463, 55.7810, 109.6563
1650048187528493.50, 162.9695, 54.7906, 106.3068
1650048187564160.75, 167.3815, 53.1941, 102.0368
1650048187599321.25, 174.2895, 50.9066, 98.5710
1650048187633209.25, 180.8255, 49.3451, 98.9406
1650048187671953.25, 182.4431, 48.8257, 98.2520
1650048187711721.50, 185.0860, 45.8534, 97.9813
1650048187753696.50, 186.8517, 44.0442, 98.7820
1650048187787434.00, 188.9921, 42.3311, 100.3161
1650048187825753.50, 191.3370, 41.7123, 101.5035
1650048187861350.50, 196.4521, 41.9546, 102.1709
1650048187894783.75, 200.1712, 42.2623, 103.0668
1650048187928600.75, 204.1853, 44.6011, 108.4324
1650048187965643.50, 204.9778, 46.4808, 105.9555
1650048188005256.50, 204.5158, 47.0958, 107.7106
1650048188049498.50, 206.1266, 47.2385, 108.3247
1650048188085290.25, 206.5220, 49.1310, 105.8119
1650048188127409.25, 207.3118, 48.7358, 99.5971
1650048188178964.00, 205.5362, 48.8375, 97.8830
1650048188250085.50, 206.9235, 48.1743, 101.8917
1650048188299116.25, 209.4042, 45.3479, 91.0895
1650048188337921.75, 209.0625, 39.7361, 88.2646
1650048188380016.50, 211.9047, 35.0040, 84.8483
1650048188420519.75, 217.0105, 30.0715, 79.0384
1650048188476390.00, 219.3603, 28.2029, 77.1777
1650048188525132.00, 219.8506, 26.4623, 76.5986
1650048188576869.00, 219.6763, 24.8833, 75.8632
1650048188631802.75, 221.0916, 25.5813, 79.5808
1650048188672407.50, 221.4241, 27.7682, 83.4339
1650048188713749.25, 225.0587, 28.1329, 86.2949
1650048188744777.25, 228.5407, 29.6835, 93.4783
1650048188785422.50, 230.4296, 29.8992, 92.5694
1650048188821520.00, 235.8393, 31.0610, 90.4989
1650048188860552.75, 239.9894, 33.2330, 100.2077
1650048188897861.25, 241.5404, 34.2317, 100.6346
1650048188931865.75, 245.7698, 34.2925, 100.3845
1650048188979604.00, 251.1427, 36.0853, 100.0561
1650048189040742.25, 253.4045, 33.8593, 101.8979
1650048189081518.50, 257.1394, 32.7220, 103.5621
1650048189194258.00, 263.0324, 31.4829, 103.2953
1650048189235099.75, 279.4966, 34.3909, 111.6030
1650048189270662.00, 284.2760, 37.8927, 109.5412
1650048189306090.50, 288.1536, 43.0962, 120.5335
1650048189343220.50, 289.2760, 45.4900, 128.0917
1650048189378270.00, 292.5271, 50.1040, 126.6511
1650048189415693.75, 295.9171, 51.3194, 128.6582
1650048189452860.00, 296.5437, 51.7784, 128.7994
1650048189492909.50, 299.7946, 52.0161, 131.3420
1650048189542103.00, 305.8785, 52.4656, 124.1426
1650048189721988.25, 313.0197, 52.9674, -99.0000
1650048189764845.75, 336.7962, 52.5233, 112.8717
1650048189799917.50, 343.3103, 53.0818, 113.4218
1650048189839994.50, 347.9161, 53.9144, 117.8087
1650048189896474.00, 349.7407, 52.7793, 118.4540
1650048189942295.50, 354.6638, 53.1647, 116.3664
1650048189977310.00, 360.8177, 54.3166, 116.3119
1650048190019330.25, 367.7582, 55.0693, 113.5993
1650048190057089.25, 369.7045, 57.2342, 112.2755
1650048190094800.00, 371.1253, 58.2065, 110.7388
1650048190130476.75, 375.7537, 59.8319, 109.1627
1650048190169699.75, 379.0888, 60.0587, 105.7967
1650048190206063.50, 381.6567, 60.4202, 105.4968
1650048190244141.25, 385.6072, 59.5124, 98.6300
1650048190321908.00, 387.3681, 57.6312, 101.3006
1650048190369812.00, 389.7854, 53.2659, 87.8884
1650048190439472.75, 392.2283, 47.2305, -99.0000
1650048190503635.00, 390.8753, 38.4564, 71.4738
1650048190578558.50, 389.3753, 33.2549, -99.0000
1650048190614988.25, 388.8086, 30.4157, 69.1268
1650048190648516.00, 389.8194, 30.6818, 70.5124
1650048190685302.25, 392.2508, 30.4802, 74.0483
1650048190724793.00, 396.9671, 30.7919, 83.3887
1650048190761422.25, 400.1431, 31.0590, 80.4648
1650048190798869.25, 405.4125, 32.2000, 84.6290
1650048190837440.25, 408.7581, 34.5398, 92.8868
1650048190876187.25, 411.1674, 35.1933, 95.1986
1650048190915444.50, 417.6102, 36.1727, 100.1285
1650048190950458.25, 422.4132, 36.2022, 102.3847
1650048190990139.25, 427.7208, 34.9788, 94.1532
1650048191027904.75, 429.9228, 33.8471, 90.0076
1650048191063522.50, 434.4108, 32.5868, 84.3411
1650048191127299.50, 436.2221, 33.0240, -99.0000
1650048191167755.00, 436.2697, 29.2315, 75.8101
1650048191280389.75, 436.2795, 27.1890, -99.0000
1650048191318742.00, 439.4791, 24.1696, 67.4338
1650048191352548.00, 439.1640, 25.1829, 71.5588
1650048191384213.75, 437.8099, 25.7572, 73.2837
1650048191414851.00, 438.1391, 26.3942, 74.4948
1650048191447421.75, 437.6295, 27.1270, 76.3679
1650048191481422.00, 436.1239, 25.9247, 78.5749
1650048191519744.50, 433.1866, 25.3937, 82.8060
1650048191553599.25, 432.1164, 24.3595, 86.0049
1650048191648987.00, 432.7639, 23.6146, -99.0000
1650048191701292.50, 433.3432, 23.9474, 92.3135
1650048191750251.50, 433.2144, 24.6768, 90.2816
1650048191791077.50, 434.8067, 24.6562, 88.4602
1650048191844163.50, 435.9004, 24.6437, 89.6562
1650048191883662.50, 437.9776, 23.7324, 87.5948
1650048191926133.50, 439.9383, 23.3236, 86.3755
1650048191965279.75, 440.2947, 24.0895, 84.9269
1650048191996094.50, 440.9266, 24.4161, 83.6360
1650048192034189.75, 441.0838, 25.8458, 82.5771
1650048192068606.75, 443.5307, 25.0574, 81.3820
1650048192101045.00, 443.7188, 27.0585, 80.5786
