x (m),y (m),time (sec)
0.7091,-0.5571,0.00
0.7091,-0.5684,0.04
0.7166,-0.5609,0.08
0.7241,-0.5534,0.12
0.7316,-0.5496,0.16
0.7466,-0.5421,0.20
0.7128,-0.5121,0.24
0.6866,-0.4858,0.28
0.6678,-0.4671,0.32
0.6528,-0.4483,0.36
0.6378,-0.4258,0.40
0.6303,-0.3996,0.44
0.6228,-0.3733,0.48
0.6153,-0.3433,0.52
0.6153,-0.3133,0.56
0.6078,-0.2908,0.60
0.604,-0.2607,0.64
0.5965,-0.2345,0.68
0.589,-0.2082,0.72
0.5815,-0.182,0.76
0.574,-0.1519,0.80
0.5665,-0.1257,0.84
0.559,-0.09942,0.88
0.5553,-0.07316,0.92
0.5515,-0.04315,0.96
0.544,-0.02063,1.00
0.5365,0.001876,1.04
0.529,0.02814,1.08
0.5215,0.05065,1.12
0.514,0.07316,1.16
0.5027,0.09192,1.20
0.4915,0.1144,1.24
0.4765,0.1332,1.28
0.4652,0.1519,1.32
0.4502,0.1745,1.36
0.4352,0.1932,1.40
0.4202,0.2157,1.44
0.4089,0.2382,1.48
0.3939,0.257,1.52
0.3789,0.2833,1.56
0.3677,0.3058,1.60
0.3564,0.3283,1.64
0.3489,0.3508,1.68
0.3414,0.3733,1.72
0.3414,0.3958,1.76
0.3414,0.4108,1.80
0.3452,0.4258,1.84
0.3527,0.4408,1.88
0.3639,0.4483,1.92
0.3827,0.4558,1.96
0.3977,0.4521,2.00
0.4164,0.4446,2.04
0.4352,0.4371,2.08
0.4465,0.4258,2.12
0.454,0.4146,2.16
0.4577,0.3996,2.20
0.4577,0.3846,2.24
0.4502,0.3733,2.28
0.4427,0.3583,2.32
0.4352,0.3545,2.36
0.4202,0.3508,2.40
0.4052,0.3508,2.44
0.3902,0.3545,2.48
0.3752,0.3545,2.52
0.3639,0.362,2.56
0.3564,0.3658,2.60
0.3489,0.3695,2.64
0.3414,0.3808,2.68
0.3377,0.3883,2.72
0.3339,0.3996,2.76
0.3339,0.4146,2.80
0.3339,0.4296,2.84
0.3377,0.4408,2.88
0.3452,0.4483,2.92
0.3564,0.4558,2.96
0.3602,0.4558,3.00
0.3677,0.4558,3.04
0.3752,0.4483,3.08
0.3789,0.4408,3.12
0.3789,0.4258,3.16
0.3752,0.4183,3.20
0.3677,0.4071,3.24
