x (m),y (m),time (sec)
0.7241,-0.5196,0.00
0.7241,-0.5159,0.04
0.7391,-0.5121,0.08
0.7503,-0.5121,0.12
0.7503,-0.5159,0.16
0.7391,-0.5196,0.20
0.7241,-0.5196,0.24
0.7128,-0.5271,0.28
0.7016,-0.5271,0.32
0.6566,-0.5609,0.36
0.6528,-0.5571,0.40
0.6378,-0.5721,0.44
0.6265,-0.5871,0.48
0.619,-0.6022,0.52
0.6115,-0.6209,0.56
0.604,-0.6359,0.60
0.589,-0.6472,0.64
0.5778,-0.6547,0.68
0.5628,-0.6584,0.72
0.5402,-0.6622,0.76
0.5215,-0.6622,0.80
0.499,-0.6584,0.84
0.4765,-0.6509,0.88
0.4577,-0.6434,0.92
0.439,-0.6322,0.96
0.4202,-0.6209,1.00
0.4052,-0.6097,1.04
0.3864,-0.5984,1.08
0.3677,-0.5834,1.12
0.3527,-0.5721,1.16
0.3377,-0.5609,1.20
0.3189,-0.5496,1.24
0.3001,-0.5384,1.28
0.2776,-0.5271,1.32
0.2589,-0.5159,1.36
0.2364,-0.5046,1.40
0.2214,-0.4934,1.44
0.2026,-0.4783,1.48
0.1838,-0.4633,1.52
0.1688,-0.4483,1.56
0.1538,-0.4371,1.60
0.1388,-0.4221,1.64
0.1201,-0.4033,1.68
0.105,-0.3883,1.72
0.09004,-0.3695,1.76
0.07503,-0.3583,1.80
0.06003,-0.3395,1.84
0.04502,-0.3245,1.88
0.03001,-0.3095,1.92
0.01125,-0.2945,1.96
-0.003752,-0.2833,2.00
-0.02251,-0.2758,2.04
-0.03752,-0.2758,2.08
-0.05628,-0.272,2.12
-0.07503,-0.272,2.16
-0.09379,-0.2682,2.20
-0.1126,-0.272,2.24
-0.1313,-0.2682,2.28
-0.1501,-0.2682,2.32
-0.1688,-0.2645,2.36
-0.1876,-0.2607,2.40
-0.2063,-0.2532,2.44
-0.2214,-0.242,2.48
-0.2364,-0.2307,2.52
-0.2439,-0.212,2.56
-0.2551,-0.1895,2.60
-0.2589,-0.1745,2.64
-0.2589,-0.1482,2.68
-0.2551,-0.1294,2.72
-0.2514,-0.1069,2.76
-0.2476,-0.08441,2.80
-0.2401,-0.0619,2.84
-0.2326,-0.04315,2.88
-0.2289,-0.02063,2.92
-0.2251,-0.001876,2.96
-0.2214,0.01688,3.00
-0.2176,0.03564,3.04
-0.2176,0.05065,3.08
-0.2138,0.06941,3.12
-0.2138,0.08817,3.16
-0.2176,0.1069,3.20
-0.2176,0.1257,3.24
-0.2214,0.1407,3.28
-0.2251,0.1632,3.32
-0.2251,0.182,3.36
-0.2289,0.2007,3.40
-0.2326,0.2195,3.44
-0.2364,0.2382,3.48
-0.2401,0.257,3.52
-0.2401,0.2758,3.56
-0.2439,0.2908,3.60
-0.2439,0.3095,3.64
-0.2439,0.3283,3.68
-0.2401,0.3433,3.72
-0.2364,0.3583,3.76
-0.2364,0.3695,3.80
-0.2326,0.3846,3.84
-0.2289,0.3996,3.88
-0.2214,0.4146,3.92
-0.2176,0.4258,3.96
-0.2101,0.4446,4.00
-0.2063,0.4558,4.04
-0.2026,0.4633,4.08
-0.2026,0.4671,4.12
-0.1988,0.4708,4.16
-0.1988,0.4708,4.20
-0.1988,0.4671,4.24
-0.1988,0.4671,4.28
-0.1988,0.4671,4.32
-0.1951,0.4708,4.36
-0.1913,0.4746,4.40
-0.1876,0.4746,4.44
-0.1801,0.4783,4.48
-0.1726,0.4821,4.52
-0.1688,0.4858,4.56
