Date,MaxTemp,MinTemp
01-01-23,79,50
01-02-23,83,69
01-03-23,74,54
01-04-23,74,42
01-05-23,69,41
01-06-23,79,44
01-07-23,77,59
01-08-23,69,47
01-09-23,74,43
01-10-23,84,57
01-11-23,78,56
01-12-23,69,50
01-13-23,64,41
01-14-23,66,34
01-15-23,74,46
01-16-23,78,58
01-17-23,82,50
01-18-23,77,57
01-19-23,69,46
01-20-23,58,50
01-21-23,65,46
01-22-23,62,42
01-23-23,60,33
01-24-23,55,42
01-25-23,56,39
01-26-23,58,35
01-27-23,56,33
01-28-23,60,48
01-29-23,75,41
01-30-23,41,30
01-31-23,32,29
02-01-23,32,29
02-02-23,40,32
02-03-23,50,32
02-04-23,63,35
02-05-23,75,41
02-06-23,76,55
02-07-23,70,50
02-08-23,60,40
02-09-23,75,40
02-10-23,56,38
02-11-23,60,35
02-12-23,66,32
02-13-23,71,42
02-14-23,80,53
02-15-23,81,48
02-16-23,71,40
02-17-23,54,33
02-18-23,58,31
02-19-23,77,46
02-20-23,84,56
02-21-23,84,60
02-22-23,91,69
02-23-23,79,57
02-24-23,57,50
02-25-23,65,45
02-26-23,81,53
02-27-23,83,56
02-28-23,84,54
03-01-23,85,70
03-02-23,82,54
03-03-23,74,50
03-04-23,82,45
03-05-23,80,53
03-06-23,81,59
03-07-23,82,66
03-08-23,82,62
03-09-23,86,60
03-10-23,76,56
03-11-23,90,62
03-12-23,76,57
03-13-23,69,50
03-14-23,69,49
03-15-23,76,49
03-16-23,81,53
03-17-23,59,41
03-18-23,54,45
03-19-23,61,39
03-20-23,57,40
03-21-23,69,52
03-22-23,80,68
03-23-23,84,71
03-24-23,87,58
03-25-23,83,51
03-26-23,82,52
03-27-23,80,58
03-28-23,70,58
03-29-23,74,55
03-30-23,75,60
03-31-23,90,61
04-01-23,84,52
04-02-23,86,63
04-03-23,93,71
04-04-23,91,73
04-05-23,77,59
04-06-23,61,47
04-07-23,54,50
04-08-23,62,53
04-09-23,74,55
04-10-23,74,55
04-11-23,77,53
04-12-23,79,51
04-13-23,81,55
04-14-23,81,61
04-15-23,94,62
04-16-23,76,56
04-17-23,79,49
04-18-23,80,62
04-19-23,81,70
04-20-23,88,65
04-21-23,82,63
04-22-23,81,57
04-23-23,68,52
04-24-23,71,54
04-25-23,75,62
04-26-23,86,64
04-27-23,82,61
04-28-23,86,57
04-29-23,77,54
04-30-23,91,52
05-01-23,84,58
05-02-23,82,68
05-03-23,86,64
05-04-23,85,68
05-05-23,94,66
05-06-23,91,67
05-07-23,88,74
05-08-23,93,72
05-09-23,76,69
05-10-23,82,67
05-11-23,92,72
05-12-23,88,75
05-13-23,78,64
05-14-23,86,65
05-15-23,86,67
05-16-23,85,67
05-17-23,90,65
05-18-23,91,65
05-19-23,92,68
05-20-23,84,68
05-21-23,74,65
05-22-23,87,63
05-23-23,92,67
05-24-23,86,65
05-25-23,85,67
05-26-23,89,65
05-27-23,87,67
05-28-23,86,71
05-29-23,88,70
05-30-23,89,67
05-31-23,91,69
06-01-23,91,72
06-02-23,91,71
06-03-23,93,68
06-04-23,83,67
06-05-23,88,67
06-06-23,89,67
06-07-23,91,70
06-08-23,89,71
06-09-23,100,71
06-10-23,98,67
06-11-23,100,74
06-12-23,98,77
06-13-23,94,78
06-14-23,96,80
06-15-23,101,82
06-16-23,103,73
06-17-23,97,78
06-18-23,106,80
06-19-23,104,80
06-20-23,106,80
06-21-23,103,73
06-22-23,94,75
06-23-23,99,78
06-24-23,103,79
06-25-23,103,80
06-26-23,105,78
06-27-23,105,77
06-28-23,103,76
06-29-23,101,79
06-30-23,102,77
07-01-23,102,78
07-02-23,98,79
07-03-23,99,78
07-04-23,97,78
07-05-23,99,79
07-06-23,92,78
07-07-23,95,75
07-08-23,102,77
07-09-23,104,78
07-10-23,105,79
07-11-23,105,79
07-12-23,108,80
07-13-23,107,80
07-14-23,107,80
07-15-23,107,79
07-16-23,106,78
07-17-23,108,77
07-18-23,107,78
07-19-23,106,78
07-20-23,106,80
07-21-23,104,77
07-22-23,105,77
07-23-23,106,80
07-24-23,105,75
07-25-23,104,77
07-26-23,103,79
07-27-23,103,78
07-28-23,102,77
07-29-23,104,76
07-30-23,104,77
07-31-23,107,79
08-01-23,106,78
08-02-23,105,79
08-03-23,104,78
08-04-23,105,79
08-05-23,106,78
08-06-23,105,78
08-07-23,106,78
08-08-23,106,78
08-09-23,108,77
08-10-23,107,78
08-11-23,108,79
08-12-23,106,80
08-13-23,106,79
08-14-23,106,77
08-15-23,102,80
08-16-23,104,73
08-17-23,110,77
08-18-23,106,77
08-19-23,104,75
08-20-23,107,78
08-21-23,105,80
08-22-23,99,78
08-23-23,101,78
08-24-23,105,79
08-25-23,107,80
08-26-23,107,77
08-27-23,109,77
08-28-23,100,75
08-29-23,99,76
08-30-23,101,70
08-31-23,102,71
09-01-23,100,73
09-02-23,101,74
09-03-23,102,76
09-04-23,102,77
09-05-23,104,79
09-06-23,103,78
09-07-23,105,78
09-08-23,107,77
09-09-23,104,77
09-10-23,99,79
09-11-23,98,75
09-12-23,94,77
09-13-23,89,72
09-14-23,94,69
09-15-23,89,73
09-16-23,85,68
09-17-23,94,69
09-18-23,96,67
09-19-23,98,72
09-20-23,99,72
09-21-23,97,76
09-22-23,99,74
09-23-23,101,78
09-24-23,103,72
09-25-23,96,76
09-26-23,96,72
09-27-23,96,71
09-28-23,95,72
09-29-23,95,72
09-30-23,95,73
10-01-23,94,72
10-02-23,94,72
10-03-23,95,70
10-04-23,98,76
10-05-23,80,67
10-06-23,87,67
10-07-23,76,60
10-08-23,80,51
10-09-23,85,54
10-10-23,81,65
10-11-23,71,66
10-12-23,85,64
10-13-23,93,69
10-14-23,79,60
10-15-23,75,56
10-16-23,75,50
10-17-23,77,45
10-18-23,84,51
10-19-23,88,58
10-20-23,97,57
10-21-23,94,57
10-22-23,89,67
10-23-23,83,68
10-24-23,79,71
10-25-23,85,72
10-26-23,79,71
10-27-23,88,73
10-28-23,87,73
10-29-23,78,41
10-30-23,48,39
10-31-23,61,42
11-01-23,60,38
11-02-23,67,35
11-03-23,76,46
11-04-23,79,58
11-05-23,80,59
11-06-23,80,64
11-07-23,85,63
11-08-23,81,69
11-09-23,74,53
11-10-23,56,52
11-11-23,61,53
11-12-23,61,54
11-13-23,65,53
11-14-23,72,54
11-15-23,74,51
11-16-23,62,51
11-17-23,81,55
11-18-23,70,59
11-19-23,65,56
11-20-23,82,60
11-21-23,60,47
11-22-23,66,39
11-23-23,58,42
11-24-23,65,40
11-25-23,59,46
11-26-23,56,42
11-27-23,56,36
11-28-23,61,45
11-29-23,63,43
11-30-23,73,56
12-01-23,71,50
12-02-23,68,45
12-03-23,73,46
12-04-23,68,44
12-05-23,73,39
12-06-23,68,42
12-07-23,71,46
12-08-23,72,61
12-09-23,75,50
12-10-23,59,38
12-11-23,65,31
12-12-23,68,39
12-13-23,56,50
12-14-23,67,48
12-15-23,63,51
12-16-23,65,43
12-17-23,71,37
12-18-23,68,43
