image_1,image_2
45,100
100,300
49,100
40,80
50,400
60,200
5,100
55,120
50,105
60,150
31,89
79,800
60,200
90,150
10,10
47,55
80,180
55,130
60,120
28,150
90,400
90,300
60,100
35,70
44,460
70,200
110,210
56,109
58,209
32,96
55,180
32,85
63,98
75,324
76,229
50,150
70,400
84,210
80,130
86,320
54,205
40,80
37,100
35,95
82,440
65,100
50,175
50,200
100,300
75,185
54,180
41,73
50,400
48,234
35,94
87,177
30,100
55,300
60,350
62,127
80,120
65,300
88,174
30,120
58,134
45,200
32,200
50,200
72,198
75,300
56,203
80,200
100,200
120,920
46,105
50,200
60,110
30,100
37,113
60,130
27,54
30,60
50,60
131,268
70,140
55,200
30,100
45,150
112,721
40,100
98,252
42,168
60,100
35,225
40,100
31,68
46,213
50,50
54,363
80,500
95,150
40,150
100,300
66,225
50,100
55,200
32,67
54,100
75,200
40,70
100,250
50,150
50,101
40,120
47,400
54,500
70,200
143,234
34,125
35,85
80,200
40,150
52,98
100,300
46,64
25,75
49,200
50,200
60,200
36,103
37,112
63,140
80,400
50,150
81,344
67,246
48,86
29,150
43,380
80,160
76,377
50,200
84,200
88,329
50,90
50,120
108,280
57,420
41,105
48,123
34,65
70,250
75,240
72,137
58,128
42,150
50,100
80,100
56,350
47,128
36,121
58,184
35,100
50,200
80,320
78,210
45,120
80,200
75,300
68,143
66,140
37,82
80,200
55,200
50,100
50,205
50,200
53,362
60,280
50,150
50,100
39,97
160,750
80,220
