,student,1_100,1_10
0,0,16.0,9.0
1,1,36.0,7.0
2,2,73.0,7.0
3,3,7.0,7.0
4,4,17.0,7.0
5,5,77.0,77.0
6,6,24.0,3.0
7,7,43.0,4.0
8,8,33.0,3.0
9,9,8.0,8.0
10,10,48.0,8.0
11,11,17.0,7.0
12,12,37.0,7.0
13,13,13.0,3.0
14,14,48.0,
15,15,77.0,7.0
16,16,42.0,4.0
17,17,33.0,7.0
18,18,27.0,2.0
19,19,34.0,6.0
20,20,65.0,7.0
21,21,22.0,2.0
22,22,36.0,36.0
23,23,1.0,2.0
24,24,69.0,4.0
25,25,43.0,
26,26,23.0,3.0
27,27,1.0,5.0
28,28,69.0,7.0
29,29,33.0,4.0
30,30,44.0,4.0
31,31,51.0,10.0
32,32,56.0,8.0
33,33,7.0,3.0
34,34,5.0,5.0
35,35,75.0,7.0
36,36,79.0,7.0
37,37,22.0,9.0
38,38,5.0,5.0
39,39,59.0,7.0
40,40,51.0,5.0
41,41,73.0,42.0
42,42,29.0,4.0
43,43,83.0,7.0
44,44,15.0,6.0
45,45,57.0,8.0
46,46,77.0,4.0
47,47,16.0,
48,48,7.0,7.0
49,49,78.0,
50,50,77.0,4.0
51,51,55.0,5.0
52,52,3.0,3.0
53,53,97.0,8.0
54,54,11.0,7.0
55,55,4.0,4.0
56,56,12.0,8.0
57,57,16.0,8.0
58,58,50.0,5.0
59,59,6.0,4.0
60,60,11.0,3.0
61,61,57.0,5.0
62,62,54.0,
63,63,7.0,7.0
64,64,87.0,8.0
65,65,29.0,9.0
66,66,55.0,7.0
67,67,76.0,6.0
68,68,3.0,3.0
69,69,33.0,3.0
70,70,20.0,6.0
71,71,2.0,1.0
72,72,50.0,2.0
73,73,55.0,4.0
74,74,15.0,7.0
75,75,13.0,8.0
76,76,89.0,4.0
77,77,2.0,2.0
78,78,42.0,4.0
79,79,47.0,1.0
80,80,47.0,4.0
81,81,24.0,4.0
82,82,54.0,8.0
83,83,7.0,9.0
84,84,57.0,5.0
85,85,42.0,3.0
86,86,25.0,3.0
87,87,7.0,7.0
88,88,55.0,8.0
89,89,63.0,7.0
90,90,,6.0
91,91,2.0,2.0
92,92,94.0,8.0
93,93,5.0,5.0
94,94,86.0,2.0
95,95,27.0,9.0
96,96,1.0,7.0
97,97,53.0,4.0
98,98,4.0,4.0
99,99,9.0,9.0
100,100,73.0,7.0
101,101,25.0,2.0
102,102,88.0,8.0
103,103,98.0,7.0
104,104,18.0,18.0
105,105,98.0,8.0
106,106,72.0,7.0
107,107,7.0,7.0
108,108,56.0,2.0
109,109,23.0,6.0
110,110,4.0,8.0
111,111,37.0,6.0
112,112,43.0,
113,113,24.0,8.0
114,114,17.0,7.0
115,115,16.0,
116,116,34.0,7.0
117,117,73.0,9.0
118,118,99.0,9.0
119,119,28.0,7.0
120,120,99.0,7.0
121,121,32.0,2.0
122,122,45.0,
123,123,89.0,4.0
124,124,27.0,5.0
125,125,76.0,7.0
126,126,13.0,9.0
127,127,7.0,7.0
128,128,21.0,7.0
129,129,14.0,4.0
130,130,32.0,4.0
131,131,50.0,6.0
132,132,11.0,5.0
133,133,63.0,6.0
134,134,24.0,8.0
135,135,21.0,6.0
136,136,67.0,7.0
137,137,97.0,2.0
138,138,73.0,7.0
139,139,74.0,2.0
140,140,36.0,3.0
141,141,34.0,34.0
142,142,78.0,5.0
143,143,83.0,8.0
144,144,15.0,6.0
145,145,25.0,5.0
146,146,52.0,7.0
147,147,5.0,5.0
148,148,39.0,9.0
149,149,52.0,7.0
150,150,18.0,2.0
151,151,96.0,8.0
152,152,77.0,3.0
153,153,25.0,10.0
154,154,27.0,8.0
155,155,56.0,8.0
156,156,50.0,5.0
157,157,55.0,6.0
158,158,27.0,7.0
159,159,14.0,5.0
160,160,81.0,8.0
161,161,50.0,6.0
162,162,34.0,5.0
163,163,30.0,7.0
164,164,75.0,5.0
165,165,67.0,8.0
166,166,7.0,7.0
167,167,45.0,7.0
168,168,14.0,4.0
169,169,20.0,8.0
170,170,47.0,
171,171,6.0,
172,172,3.0,3.0
173,173,35.0,1.0
174,174,81.0,8.0
175,175,69.0,3.0
176,176,68.0,8.0
177,177,68.0,6.0
178,178,99.0,2.0
179,179,27.0,7.0
180,180,21.0,4.0
181,181,20.0,8.0
182,182,70.0,
183,183,50.0,5.0
184,184,58.0,2.0
185,185,86.0,7.0
186,186,33.0,4.0
187,187,22.0,8.0
188,188,65.0,9.0
189,189,11.0,2.0
190,190,12.0,7.0
191,191,22.0,4.0
