1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
69,55,78,64,74,48,60,69,31,52,67,68,74,78,70,65,81,70,65,52,59,51,47,58,63,64,76,74,62,44,41,56,70,58,51,39,48,73,35,58,33,64,70,62,41,60,49,49,57,45,72,57,46,65,37,72,51,58,73,65,75,76,35,41,73,74,75,85,57,55,68,55,58,63,55,69,40,48,75,32,46,58,53,78
73,48,62,34,73,48,62,77,39,57,69,75,76,41,60,80,74,77,56,55,67,61,52,69,58,71,72,69,70,57,45,41,68,58,41,37,47,62,35,42,32,68,63,75,45,54,32,70,62,48,68,55,49,66,50,79,45,48,73,70,64,74,38,45,58,79,72,78,54,50,75,55,56,60,45,55,43,47,74,32,41,60,64,48
74,53,58,47,73,64,57,75,30,74,82,76,66,40,61,70,80,70,67,58,45,46,53,65,64,73,53,56,52,56,52,49,83,66,66,32,53,46,41,50,40,57,70,79,47,57,50,64,57,54,78,74,46,71,67,63,48,53,75,73,41,71,53,46,68,79,77,86,53,53,83,49,59,62,47,58,62,62,76,56,52,66,72,57
73,51,52,32,45,66,53,73,29,70,51,68,76,63,68,75,76,70,77,47,32,50,55,76,61,60,58,47,65,42,43,48,42,41,52,39,56,47,66,60,50,59,55,64,41,74,56,66,60,50,68,64,40,62,64,65,45,67,84,74,42,55,69,51,68,78,78,78,66,66,66,48,58,73,45,71,51,58,50,55,66,73,78,67
70,45,58,31,42,56,55,73,47,70,54,32,76,66,72,67,71,76,65,45,38,46,52,58,60,62,58,62,66,41,57,47,37,40,49,47,67,45,48,79,49,55,56,73,59,70,56,53,60,49,81,51,52,59,52,72,41,54,66,75,56,60,72,53,72,48,70,69,81,79,43,49,71,70,56,59,52,56,63,62,75,76,73,74
72,42,51,35,43,55,77,67,46,60,59,47,68,55,73,74,54,84,75,55,42,43,55,61,59,59,74,66,70,53,69,35,38,57,42,70,69,63,51,76,33,72,63,77,61,75,62,62,68,45,84,48,53,62,52,73,71,42,50,68,63,67,73,63,65,38,39,66,57,75,67,51,67,74,61,36,71,53,34,63,72,76,71,56
72,42,54,40,46,54,65,56,53,68,65,46,51,65,79,71,51,61,69,51,60,64,56,61,62,66,77,67,45,31,77,43,35,60,41,52,77,56,53,80,35,59,59,67,68,65,61,53,65,39,79,64,46,61,55,52,58,42,34,53,74,55,62,60,61,48,60,79,61,80,74,53,77,69,57,48,51,73,44,67,77,69,63,42
69,42,65,35,44,40,74,49,50,75,69,60,60,77,74,74,54,54,78,53,59,68,53,69,77,71,78,65,41,32,79,46,49,68,37,64,68,40,54,58,36,51,59,52,53,64,60,37,56,34,60,74,48,63,61,60,76,51,37,63,75,62,60,68,73,67,59,78,66,72,81,35,65,60,53,53,36,66,53,69,77,71,54,63
73,52,66,46,59,48,55,62,46,70,82,69,62,78,66,64,55,62,81,54,47,61,54,55,75,51,71,67,43,40,51,32,67,71,28,62,71,57,38,44,36,51,56,64,65,65,69,47,61,41,45,77,52,59,76,64,73,67,56,71,48,77,61,74,83,68,69,80,64,68,80,42,51,57,59,70,38,58,71,70,62,78,54,64
66,64,61,48,67,56,65,46,46,56,69,67,65,56,76,47,47,65,56,68,55,69,59,20,86,56,43,67,58,40,47,44,81,68,30,42,61,70,43,39,39,61,55,47,62,48,56,63,55,42,60,77,52,60,41,71,75,71,60,58,57,79,51,69,56,62,73,63,68,69,68,48,40,58,66,72,36,50,79,71,60,77,45,59
58,76,68,61,59,53,65,63,62,59,36,56,58,65,69,54,57,60,50,68,65,73,49,30,61,63,46,68,56,46,54,71,84,62,30,44,57,64,41,34,46,66,58,30,66,49,40,66,55,52,64,85,50,54,43,73,77,66,37,64,68,76,64,61,47,65,79,75,69,69,62,57,44,77,75,75,49,56,80,72,61,60,50,51
49,61,68,66,55,46,73,46,70,67,40,75,67,76,70,45,65,62,70,62,64,75,51,49,25,44,58,70,62,51,61,44,66,77,38,34,40,71,42,36,59,59,50,49,61,61,32,72,62,68,62,63,62,57,67,57,76,72,30,74,73,78,48,66,40,67,72,77,73,71,64,66,40,50,75,67,46,66,81,58,61,63,53,66
54,73,61,68,66,33,73,45,63,49,48,73,74,76,70,40,51,62,72,58,68,72,65,56,33,41,62,56,57,53,61,42,77,61,54,46,47,77,46,59,47,71,57,33,70,45,34,67,56,49,41,59,64,55,50,66,67,76,27,61,65,71,52,69,46,71,65,66,69,64,56,59,40,58,53,71,42,66,78,54,54,60,67,75
58,54,69,69,74,39,76,41,67,59,63,68,57,71,77,46,58,68,60,71,76,70,62,73,46,44,67,57,70,54,63,52,70,53,65,64,58,59,46,47,37,79,63,56,71,35,55,71,64,55,58,62,70,52,49,73,67,76,32,59,58,68,62,65,51,67,57,69,41,63,64,58,47,67,51,76,40,70,56,61,52,77,69,78
53,54,75,63,71,50,59,39,64,67,76,78,74,74,75,69,58,62,40,56,64,59,66,51,55,39,71,62,54,55,71,56,62,38,70,61,65,67,59,60,45,76,61,65,53,39,52,71,60,63,74,77,66,58,63,60,67,73,63,63,65,75,55,68,52,62,56,72,36,53,55,55,50,64,42,64,59,70,73,71,51,82,60,64
55,58,66,70,82,52,55,52,64,51,58,63,73,78,38,50,68,52,35,65,50,47,71,59,52,37,48,63,65,60,78,61,69,53,67,71,65,68,42,73,60,75,53,46,55,40,52,69,51,62,55,75,68,42,60,68,77,76,52,70,73,76,53,72,55,68,50,68,31,57,47,62,51,73,54,72,64,64,70,38,57,73,65,63
61,65,51,69,48,60,49,59,39,40,37,69,74,76,56,47,68,48,48,68,61,61,74,55,50,61,52,46,52,63,73,66,71,60,74,76,64,68,47,37,63,66,43,43,54,43,57,70,42,75,61,76,66,42,63,62,65,76,42,64,81,78,45,62,45,76,54,59,33,47,68,65,67,74,67,64,69,57,59,38,77,59,69,68
61,48,50,68,49,64,63,57,43,42,53,76,83,80,71,64,54,37,58,58,64,47,71,49,67,69,62,39,40,59,60,50,68,72,76,79,67,72,44,34,67,74,43,66,51,40,69,73,43,72,61,76,52,43,70,42,57,62,53,74,71,83,39,52,59,52,51,73,42,40,75,69,67,66,66,70,72,59,56,45,66,70,75,75
68,33,58,63,32,67,62,69,55,35,45,46,81,80,85,73,43,49,57,58,73,35,62,47,53,76,67,44,51,56,57,44,48,73,73,60,61,72,49,38,69,65,39,69,41,37,70,73,55,70,59,71,65,50,46,57,65,46,60,60,75,87,51,59,65,57,69,77,46,50,71,73,66,80,69,72,75,69,71,54,62,58,69,81
72,45,64,68,45,71,48,61,62,44,45,48,74,79,68,82,55,54,69,56,79,48,56,32,44,74,71,38,56,57,63,55,64,83,76,78,56,56,58,36,66,63,61,74,38,33,34,79,48,52,58,66,52,57,66,51,66,68,61,67,75,66,51,61,76,58,74,78,43,56,63,73,59,74,75,82,80,57,76,68,54,62,55,42
72,39,71,70,70,70,65,43,55,65,58,65,51,78,67,36,61,52,70,57,47,55,48,57,55,69,65,36,66,56,82,36,77,65,65,76,65,65,64,31,57,51,56,72,41,44,42,77,49,59,56,69,44,47,77,50,68,69,68,76,80,60,53,73,82,60,74,60,66,55,76,76,50,61,74,63,56,64,81,72,67,62,66,50
61,31,64,77,81,70,55,52,58,78,58,77,64,65,72,47,52,49,72,61,49,54,56,65,69,74,72,38,74,67,84,45,80,83,64,77,55,68,51,35,62,51,59,79,51,45,42,62,53,57,61,73,51,72,74,50,73,73,76,49,69,75,57,69,56,63,67,49,49,59,79,75,64,76,73,70,52,54,70,65,69,59,78,55
59,43,73,75,84,68,60,64,62,49,71,83,68,63,63,58,49,48,40,47,57,40,68,32,48,73,62,41,75,51,78,48,70,88,55,52,65,73,61,41,54,59,68,61,58,63,46,63,61,60,66,78,50,62,75,55,58,79,69,59,66,74,58,79,42,64,46,64,43,41,80,72,54,67,76,56,51,57,76,66,56,67,61,58
53,38,58,80,77,65,57,63,73,43,75,81,66,70,75,70,65,58,51,60,60,46,73,46,35,67,63,40,76,60,62,66,81,74,51,48,70,67,59,51,48,66,75,72,66,49,63,68,76,58,74,74,57,68,57,67,56,59,76,60,75,59,67,71,46,64,62,71,48,44,64,65,59,68,81,40,63,70,84,65,64,69,71,53
54,27,73,82,61,73,69,71,76,38,33,82,64,80,79,71,66,54,58,69,68,53,33,58,55,63,76,44,76,73,55,77,87,66,43,48,84,70,59,55,51,67,74,72,60,63,74,67,69,56,72,60,58,63,52,71,58,69,66,62,75,61,61,62,43,75,80,71,64,42,60,67,59,70,81,70,73,75,69,66,61,67,76,53
57,35,62,81,41,75,63,55,76,33,37,72,74,79,78,74,69,62,37,67,66,64,42,68,49,66,63,49,67,71,62,73,78,63,59,72,83,45,67,46,52,71,71,63,55,68,51,61,71,66,68,68,53,54,62,74,71,71,73,69,75,47,69,62,46,66,77,62,64,73,71,69,63,70,67,76,74,58,59,68,64,79,73,55
49,44,55,76,51,65,57,48,81,32,64,54,79,70,75,55,59,78,37,65,46,70,32,63,32,74,59,55,57,67,74,75,68,83,67,70,82,52,80,45,50,43,69,71,44,67,75,51,75,66,57,79,74,56,63,68,77,53,73,68,76,43,62,73,57,54,61,71,69,70,67,69,69,71,81,60,83,59,58,70,67,70,65,61
58,63,57,71,51,58,52,46,68,25,47,60,63,67,65,55,62,78,53,54,54,68,39,65,38,68,66,57,70,69,75,79,68,45,49,62,76,60,65,45,40,44,69,72,67,78,53,72,78,69,67,67,64,51,59,46,68,57,47,72,77,36,70,75,66,61,49,69,53,72,52,67,77,59,77,39,81,71,61,71,73,73,56,60
62,67,66,66,74,59,52,50,78,33,26,79,28,76,69,68,63,78,62,61,68,61,51,73,47,57,76,35,73,73,76,62,78,39,54,67,77,70,43,44,40,38,76,75,73,77,55,72,79,73,53,64,76,57,54,51,52,72,57,74,69,44,65,81,63,54,52,80,52,73,58,64,74,63,84,49,79,76,70,68,50,63,69,68
68,64,66,66,75,56,48,68,64,54,22,43,21,72,76,76,71,48,45,74,61,66,60,77,52,57,59,42,78,71,70,56,90,44,63,73,75,73,40,41,58,50,63,71,69,61,71,73,70,75,69,74,40,67,58,55,57,76,65,74,60,47,68,75,56,59,48,70,58,61,66,46,81,64,60,65,58,77,79,67,55,50,80,71
71,67,63,57,73,60,50,55,65,55,33,40,21,75,66,66,73,47,53,70,52,64,64,78,62,67,61,68,76,74,53,55,61,46,72,77,76,56,47,38,37,39,57,59,76,54,47,75,68,77,76,70,56,74,62,42,69,36,74,61,64,54,59,72,73,63,44,74,51,61,71,36,78,73,70,80,62,86,78,72,58,63,69,59
71,65,62,62,59,65,52,62,56,43,34,42,27,79,66,69,75,59,67,70,45,63,72,75,83,62,53,52,77,74,53,68,49,49,66,75,52,72,49,44,43,39,56,58,54,62,23,76,75,79,72,71,63,69,71,46,76,29,82,62,72,51,55,52,72,60,44,67,57,63,78,46,66,82,73,76,73,77,82,73,65,74,67,66
57,58,63,72,70,67,65,62,61,46,41,45,40,76,71,68,75,43,62,67,35,64,64,77,74,58,47,48,67,61,76,59,44,61,65,83,50,81,48,41,46,45,47,64,56,65,30,74,77,67,77,70,66,59,62,56,81,31,83,61,67,55,54,53,71,62,44,75,47,78,64,52,26,72,78,55,49,72,64,59,64,81,69,60
53,48,55,69,75,67,72,65,71,50,59,42,54,69,78,79,63,32,75,61,45,64,70,79,56,55,51,57,58,64,57,49,68,46,68,65,49,79,59,42,49,66,56,48,52,68,32,71,74,48,39,68,59,59,59,54,70,34,78,66,78,75,63,56,76,57,55,65,55,81,77,50,28,75,73,46,43,58,53,56,76,73,77,37
58,68,52,69,66,69,70,70,58,64,62,49,68,63,73,82,60,43,83,68,67,55,64,80,66,55,48,62,72,66,56,66,73,54,76,67,60,77,65,50,44,61,49,44,45,69,36,78,77,42,24,66,64,57,56,76,70,38,69,61,71,62,65,52,60,51,56,71,68,80,68,47,41,69,76,64,55,59,51,76,77,79,85,42
63,69,50,77,82,69,58,72,53,60,66,61,74,73,81,72,48,56,78,75,70,53,53,62,73,60,47,65,70,66,59,64,70,61,74,72,54,65,57,53,42,67,45,40,47,68,42,61,62,38,24,64,70,57,55,78,67,53,57,60,75,57,68,47,52,65,59,79,69,82,75,60,67,50,80,48,52,62,72,55,79,47,61,52
