x (m),y (m),time (sec)
0.9192,0.3921,0.0
0.9154,0.3996,0.040002
0.8216,0.4333,0.07998
0.8104,0.4408,0.12
0.8066,0.4333,0.16002
0.7729,0.3958,0.19998
0.7428,0.377,0.24
0.7316,0.3658,0.28002
0.7016,0.3283,0.31998
0.6903,0.3133,0.36
0.6603,0.2682,0.40002
0.6415,0.242,0.43998
0.634,0.2307,0.48
0.6078,0.197,0.5200199999999999
0.6003,0.1895,0.5599799999999999
0.5665,0.1594,0.6
0.544,0.1407,0.6402
0.529,0.1332,0.6798
0.4952,0.1144,0.72
0.4802,0.1069,0.7602
0.439,0.09942,0.7998
0.4127,0.09942,0.84
0.3977,0.09942,0.8802000000000001
0.3527,0.1032,0.9198
0.3377,0.1107,0.96
0.3001,0.1257,1.0002
0.2739,0.1369,1.0398
0.2439,0.1444,1.0799999999999998
0.2176,0.1557,1.1201999999999999
0.2026,0.1594,1.1598
0.1613,0.1707,1.2
0.1313,0.1745,1.2402
0.105,0.1745,1.2797999999999998
0.07503,0.1745,1.3199999999999998
0.06003,0.1745,1.3601999999999999
0.01876,0.1707,1.3998
-0.007503,0.167,1.44
-0.03001,0.1632,1.4802
-0.06003,0.1594,1.5197999999999998
-0.07503,0.1632,1.5599999999999998
-0.1013,0.167,1.6002
-0.1163,0.1782,1.6398
-0.1238,0.197,1.68
-0.1238,0.212,1.7202000000000002
-0.1201,0.2195,1.7597999999999998
-0.1013,0.2345,1.7999999999999998
-0.09004,0.2382,1.8402
-0.07128,0.2382,1.8798
-0.05628,0.2382,1.92
-0.04877,0.2345,1.9602
-0.02626,0.227,1.9998
-0.01501,0.2195,2.04
-0.007503,0.2082,2.0802
0.003752,0.197,2.1198
0.003752,0.1895,2.1599999999999997
0.01501,0.1632,2.2002
0.01876,0.1482,2.2398000000000002
0.01876,0.1407,2.28
0.01876,0.1107,2.3202000000000003
0.01876,0.09942,2.3598
0.007503,0.07316,2.4
-0.003752,0.0544,2.4402
-0.007503,0.0469,2.4798
-0.03377,0.02439,2.52
-0.04127,0.01688,2.5602
-0.06378,-0.005627,2.5998
-0.08629,-0.02063,2.6399999999999997
-0.09379,-0.02814,2.6802
-0.1238,-0.04315,2.7198
-0.1351,-0.0469,2.76
-0.1726,-0.05815,2.8002000000000002
-0.1951,-0.0619,2.8398
-0.2063,-0.0619,2.88
-0.2401,-0.05815,2.9202
-0.2514,-0.0544,2.9598
-0.2851,-0.04315,3.0
-0.3076,-0.03564,3.0402
-0.3189,-0.03564,3.0798
-0.3414,-0.02439,3.1199999999999997
-0.3452,-0.02063,3.1602
-0.3602,-0.005627,3.1998
-0.3714,0.009379,3.2399999999999998
-0.3789,0.01688,3.2802000000000002
-0.3902,0.03564,3.3198
-0.3939,0.0469,3.36
-0.4014,0.0619,3.4002
-0.4014,0.07316,3.4398
-0.4014,0.07316,3.48
-0.3939,0.08441,3.5202
-0.3902,0.08817,3.5598
-0.3789,0.08817,3.5999999999999996
-0.3639,0.08817,3.6402
-0.3602,0.08817,3.6798
-0.3377,0.07316,3.7199999999999998
-0.3226,0.0619,3.7602
-0.3114,0.05065,3.7998
-0.3001,0.03564,3.84
-0.2926,0.02814,3.8802000000000003
-0.2851,0.005627,3.9198
-0.2814,-0.01313,3.96
-0.2814,-0.03189,4.0001999999999995
-0.2776,-0.0469,4.0398
-0.2776,-0.05065,4.08
-0.2701,-0.06941,4.1202
-0.2626,-0.08817,4.159800000000001
-0.2551,-0.1032,4.2
-0.2476,-0.1144,4.2402
-0.2401,-0.1219,4.2798
-0.2138,-0.1444,4.319999999999999
-0.1988,-0.1594,4.3602
-0.1801,-0.1745,4.399800000000001
-0.1613,-0.1932,4.4399999999999995
-0.1538,-0.197,4.4802
-0.1276,-0.227,4.5198
-0.1088,-0.242,4.56
-0.09379,-0.257,4.6002
-0.07503,-0.2758,4.6398
-0.06378,-0.2833,4.68
-0.03752,-0.3133,4.7202
-0.01876,-0.3283,4.7598
-0.003752,-0.347,4.8
0.01876,-0.362,4.8402
0.02626,-0.3695,4.8798
0.06003,-0.3921,4.92
0.07879,-0.4033,4.9601999999999995
0.1013,-0.4146,4.9998000000000005
0.1238,-0.4221,5.04
0.1388,-0.4258,5.0802
0.1651,-0.4333,5.119800000000001
0.1838,-0.4446,5.159999999999999
0.2026,-0.4521,5.2002
0.2138,-0.4633,5.239800000000001
0.2214,-0.4671,5.279999999999999
0.2401,-0.4934,5.3202
0.2514,-0.5121,5.359800000000001
0.2626,-0.5309,5.3999999999999995
0.2701,-0.5534,5.4402
0.2776,-0.5609,5.4798
0.2926,-0.5946,5.52
0.3001,-0.6134,5.5602
0.3114,-0.6359,5.5998
0.3264,-0.6584,5.64
