x (m),y (m),time (sec)
0.7091,-0.5571,0.0
0.7091,-0.5684,0.040002
0.7166,-0.5609,0.07998
0.7241,-0.5534,0.12
0.7316,-0.5496,0.16002
0.7466,-0.5421,0.19998
0.7128,-0.5121,0.24
0.6866,-0.4858,0.28002
0.6678,-0.4671,0.31998
0.6528,-0.4483,0.36
0.6378,-0.4258,0.40002
0.6303,-0.3996,0.43998
0.6228,-0.3733,0.48
0.6153,-0.3433,0.5200199999999999
0.6153,-0.3133,0.5599799999999999
0.6078,-0.2908,0.6
0.604,-0.2607,0.6402
0.5965,-0.2345,0.6798
0.589,-0.2082,0.72
0.5815,-0.182,0.7602
0.574,-0.1519,0.7998
0.5665,-0.1257,0.84
0.559,-0.09942,0.8802000000000001
0.5553,-0.07316,0.9198
0.5515,-0.04315,0.96
0.544,-0.02063,1.0002
0.5365,0.001876,1.0398
0.529,0.02814,1.0799999999999998
0.5215,0.05065,1.1201999999999999
0.514,0.07316,1.1598
0.5027,0.09192,1.2
0.4915,0.1144,1.2402
0.4765,0.1332,1.2797999999999998
0.4652,0.1519,1.3199999999999998
0.4502,0.1745,1.3601999999999999
0.4352,0.1932,1.3998
0.4202,0.2157,1.44
0.4089,0.2382,1.4802
0.3939,0.257,1.5197999999999998
0.3789,0.2833,1.5599999999999998
0.3677,0.3058,1.6002
0.3564,0.3283,1.6398
0.3489,0.3508,1.68
0.3414,0.3733,1.7202000000000002
0.3414,0.3958,1.7597999999999998
0.3414,0.4108,1.7999999999999998
0.3452,0.4258,1.8402
0.3527,0.4408,1.8798
0.3639,0.4483,1.92
0.3827,0.4558,1.9602
0.3977,0.4521,1.9998
0.4164,0.4446,2.04
0.4352,0.4371,2.0802
0.4465,0.4258,2.1198
0.454,0.4146,2.1599999999999997
0.4577,0.3996,2.2002
0.4577,0.3846,2.2398000000000002
0.4502,0.3733,2.28
0.4427,0.3583,2.3202000000000003
0.4352,0.3545,2.3598
0.4202,0.3508,2.4
0.4052,0.3508,2.4402
0.3902,0.3545,2.4798
0.3752,0.3545,2.52
0.3639,0.362,2.5602
0.3564,0.3658,2.5998
0.3489,0.3695,2.6399999999999997
0.3414,0.3808,2.6802
0.3377,0.3883,2.7198
0.3339,0.3996,2.76
0.3339,0.4146,2.8002000000000002
0.3339,0.4296,2.8398
0.3377,0.4408,2.88
0.3452,0.4483,2.9202
0.3564,0.4558,2.9598
0.3602,0.4558,3.0
0.3677,0.4558,3.0402
0.3752,0.4483,3.0798
0.3789,0.4408,3.1199999999999997
0.3789,0.4258,3.1602
0.3752,0.4183,3.1998
0.3677,0.4071,3.2399999999999998
0.3564,0.3996,3.2802000000000002
0.3489,0.3921,3.3198
0.3377,0.3846,3.36
0.3302,0.3808,3.4002
0.3226,0.377,3.4398
0.3114,0.377,3.48
0.2964,0.3733,3.5202
0.2851,0.3733,3.5598
0.2776,0.3733,3.5999999999999996
0.2626,0.3733,3.6402
0.2476,0.3733,3.6798
0.2326,0.3733,3.7199999999999998
0.2176,0.377,3.7602
0.2063,0.3808,3.7998
0.1876,0.3883,3.84
0.1726,0.3958,3.8802000000000003
0.1613,0.4033,3.9198
