x (m),y (m),time (sec)
0.7241,-0.5196,0.0
0.7241,-0.5159,0.040002
0.7391,-0.5121,0.07998
0.7503,-0.5121,0.12
0.7503,-0.5159,0.16002
0.7391,-0.5196,0.19998
0.7241,-0.5196,0.24
0.7128,-0.5271,0.28002
0.7016,-0.5271,0.31998
0.6566,-0.5609,0.40002
0.6528,-0.5571,0.43998
0.6378,-0.5721,0.48
0.6265,-0.5871,0.5200199999999999
0.619,-0.6022,0.5599799999999999
0.6115,-0.6209,0.6
0.604,-0.6359,0.6402
0.589,-0.6472,0.6798
0.5778,-0.6547,0.72
0.5628,-0.6584,0.7602
0.5402,-0.6622,0.7998
0.5215,-0.6622,0.84
0.499,-0.6584,0.8802000000000001
0.4765,-0.6509,0.9198
0.4577,-0.6434,0.96
0.439,-0.6322,1.0002
0.4202,-0.6209,1.0398
0.4052,-0.6097,1.0799999999999998
0.3864,-0.5984,1.1201999999999999
0.3677,-0.5834,1.1598
0.3527,-0.5721,1.2
0.3377,-0.5609,1.2402
0.3189,-0.5496,1.2797999999999998
0.3001,-0.5384,1.3199999999999998
0.2776,-0.5271,1.3601999999999999
0.2589,-0.5159,1.3998
0.2364,-0.5046,1.44
0.2214,-0.4934,1.4802
0.2026,-0.4783,1.5197999999999998
0.1838,-0.4633,1.5599999999999998
0.1688,-0.4483,1.6002
0.1538,-0.4371,1.6398
0.1388,-0.4221,1.68
0.1201,-0.4033,1.7202000000000002
0.105,-0.3883,1.7597999999999998
0.09004,-0.3695,1.7999999999999998
0.07503,-0.3583,1.8402
0.06003,-0.3395,1.8798
0.04502,-0.3245,1.92
0.03001,-0.3095,1.9602
0.01125,-0.2945,1.9998
-0.003752,-0.2833,2.04
-0.02251,-0.2758,2.0802
-0.03752,-0.2758,2.1198
-0.05628,-0.272,2.1599999999999997
-0.07503,-0.272,2.2002
-0.09379,-0.2682,2.2398000000000002
-0.1126,-0.272,2.28
-0.1313,-0.2682,2.3202000000000003
-0.1501,-0.2682,2.3598
-0.1688,-0.2645,2.4
-0.1876,-0.2607,2.4402
-0.2063,-0.2532,2.4798
-0.2214,-0.242,2.52
-0.2364,-0.2307,2.5602
-0.2439,-0.212,2.5998
-0.2551,-0.1895,2.6399999999999997
-0.2589,-0.1745,2.6802
-0.2589,-0.1482,2.7198
-0.2551,-0.1294,2.76
-0.2514,-0.1069,2.8002000000000002
-0.2476,-0.08441,2.8398
-0.2401,-0.0619,2.88
-0.2326,-0.04315,2.9202
-0.2289,-0.02063,2.9598
-0.2251,-0.001876,3.0
-0.2214,0.01688,3.0402
-0.2176,0.03564,3.0798
-0.2176,0.05065,3.1199999999999997
-0.2138,0.06941,3.1602
-0.2138,0.08817,3.1998
-0.2176,0.1069,3.2399999999999998
-0.2176,0.1257,3.2802000000000002
-0.2214,0.1407,3.3198
-0.2251,0.1632,3.36
-0.2251,0.182,3.4002
-0.2289,0.2007,3.4398
-0.2326,0.2195,3.48
-0.2364,0.2382,3.5202
-0.2401,0.257,3.5598
-0.2401,0.2758,3.5999999999999996
-0.2439,0.2908,3.6402
-0.2439,0.3095,3.6798
-0.2439,0.3283,3.7199999999999998
-0.2401,0.3433,3.7602
-0.2364,0.3583,3.7998
-0.2364,0.3695,3.84
-0.2326,0.3846,3.8802000000000003
-0.2289,0.3996,3.9198
-0.2214,0.4146,3.96
-0.2176,0.4258,4.0001999999999995
-0.2101,0.4446,4.0398
-0.2063,0.4558,4.08
-0.2026,0.4633,4.1202
-0.2026,0.4671,4.159800000000001
-0.1988,0.4708,4.2
-0.1988,0.4708,4.2402
-0.1988,0.4671,4.2798
-0.1988,0.4671,4.319999999999999
-0.1988,0.4671,4.3602
-0.1951,0.4708,4.399800000000001
-0.1913,0.4746,4.4399999999999995
-0.1876,0.4746,4.4802
-0.1801,0.4783,4.5198
-0.1726,0.4821,4.56
-0.1688,0.4858,4.6002
