student,between 1 and 100,between 1 and 10
0,47,3
1,84,8
2,99,7
3,27,7
4,69,
5,76,7
6,15,7
7,21,7
8,88,8
9,72,6
10,77,8
11,5,7
12,29,9
13,37,3
14,21,4
15,49,8
16,17,4
17,78,8
18,32,4
19,46,7
20,7,7
21,7,7
22,67,7
23,7,7
24,33,3
25,77,7
26,79,9
27,8,8
28,12,1
29,88,8
30,88,8
31,95,5
32,,4
33,72,7
34,13,7
35,1,3
36,5,3
37,47,2
38,79,2
39,10,6
40,67,8
41,2,3
42,54,9
43,98,4
44,29,9
45,99,8
46,3,3
47,69,9
48,77,2
49,70,8
50,77,7
51,47,3
52,100,9
53,42,8
54,23,7
55,7,7
56,2,2
57,74,7
58,82,8
59,5,5
60,53,7
61,17,7
62,29,8
63,7,7
64,5,7
65,100,
66,85,8
67,76,7
68,44,4
69,16,5
70,97,9
71,57,7
72,24,6
73,86,6
74,48,7
75,67,4
76,74,9
77,3,3
78,7,7
79,85,7
80,38,8
81,10,2
82,96,7
83,17,7
84,50,7
85,95,7
86,65,9
87,12,3
88,50,9
89,42,7
90,21,4
91,99,9
92,26,26
93,100,10
94,11,4
95,7,
96,64,4
97,8,8
98,3,3
99,7,8
100,88,8
101,53,7
102,1,5
103,97,9
104,44,4
105,7,7
106,50,7
107,12,7
108,76,
109,10,5
110,1,5
111,98,6
112,6,6
113,88,8
114,27,7
115,4,4
116,50,8
117,50,50
118,56,8
119,17,3825
120,89,7
121,22,22
122,4,4
123,11,4
124,8,8
125,33,9
126,64,4
127,,5
128,3,3
129,73,7
130,76,34
131,16,
132,8,8
133,2,2
134,19,4
135,47,6
136,23,3
137,77,7
138,99,6
139,44,5
140,75,4
141,3,
142,4,4
143,77,7
144,59,9
145,66,99
146,27,7
147,59,4
148,15,6
149,78,9
150,13,
151,14,4
152,9,9
153,74,7
154,70,8
155,42,42
156,55,4
157,7,9
158,2,8
159,9,9
160,64,6
161,2,2
162,8,8
163,7,7
164,99,9
165,57,9
166,53,7
167,79,6
168,78,8
169,82,8
170,77,7
171,3,3
172,73,5
173,44,1
174,69,9
175,99,9
176,77,89
177,74,6
178,69,7
179,3,3
180,77,6
181,64,4
182,11,4
183,4,4
184,16,7
185,77,7
186,21,7
187,26,3
188,16,8
189,4,4
190,8,90
191,18,8
192,99,8
193,64,16
194,69,
195,23,5
196,97,
197,6,6
198,23,9
199,65,4
200,2,9
201,4,4
202,99,8
203,55,5
204,3,7
205,67,3
206,72,7
207,16,8
208,12,12
209,43,2
210,12,7
211,16,6
212,77,7
213,23,89
214,11,7
215,68,8
216,77,
217,44,4
218,100,6
219,28,
220,74,9
221,18,
222,2,2
223,44,4
224,,6
225,33,3
226,75,9
227,16,56
228,78,3
229,3,3
230,22,5
231,24,8
232,93,5
233,2,4
234,100,5
235,76,6
236,2,2
237,4,4
238,27,6
